45.89.230.50,31599,AE,LLC Baxet
38.180.10.150,443,EE,Aktsiaselts WaveCom
94.131.15.113,443,EE,Stark Industries Solutions LTD
38.180.10.162,443,EE,Aktsiaselts WaveCom
95.164.8.31,443,EE,Stark Industries Solutions
5.101.180.145,443,EE,P.a.g.m. Ou
5.101.179.28,443,EE,P.a.g.m. Ou
185.114.73.166,8443,ES,First Server
185.114.73.79,2053,ES,First Server
185.114.73.132,2053,ES,First Server
185.114.73.92,443,ES,First Server
185.114.72.31,2053,ES,First Server
185.231.204.173,81,ES,Stark Industries Solutions
185.114.73.132,8443,ES,First Server
185.231.204.186,443,ES,Stark Industries Solutions
103.45.245.191,502,ES,Kamatera Inc
185.114.73.166,2053,ES,First Server
103.45.245.201,59889,ES,Kamatera Inc
185.114.72.148,443,ES,First Server
103.45.245.201,29016,ES,Kamatera Inc
103.45.245.208,8443,ES,Kamatera Inc
185.114.73.79,8443,ES,First Server
103.45.245.208,2053,ES,Kamatera Inc
185.114.72.92,8443,ES,First Server
176.57.104.51,22181,ES,TVAlmansa
185.114.72.92,2053,ES,First Server
185.114.72.31,8443,ES,First Server
176.120.74.53,443,ES,Stark Industries Solutions
185.110.17.42,34834,ES,XFERA Moviles
176.97.72.18,443,ES,M247 Europe
185.114.72.119,24780,ES,First Server
193.17.183.107,8443,ES,Near Ip, S.l.
193.17.183.157,8443,ES,Near Ip, S.l.
193.17.183.107,2053,ES,Near Ip, S.l.
193.17.183.157,2053,ES,Near Ip, S.l.
193.17.183.166,2053,ES,Near Ip, S.l.
185.231.204.237,8443,ES,Stark Industries Solutions
185.231.204.237,2053,ES,Stark Industries Solutions
193.17.183.29,8443,ES,Near Ip, S.l.
193.17.183.166,8443,ES,Near Ip, S.l.
193.17.183.29,2053,ES,Near Ip, S.l.
194.164.170.244,2053,ES,1&1 Internet AG
5.22.220.82,2053,FI,UpCloud
5.22.220.82,8443,FI,UpCloud
109.107.190.235,2053,FI,Aeza International
109.107.190.3,8443,FI,Aeza International
109.107.190.3,2053,FI,Aeza International
109.107.190.40,2053,FI,Aeza International
109.107.190.40,8443,FI,Aeza International
109.107.190.206,2053,FI,Aeza International
109.120.151.191,2053,FI,Aeza International
109.120.151.180,2053,FI,Aeza International
109.120.151.191,8443,FI,Aeza International
109.120.151.9,2053,FI,Aeza International
109.120.184.106,2053,FI,Aeza International
109.120.184.120,2053,FI,Aeza International
109.120.184.120,8443,FI,Aeza International
109.120.184.227,2053,FI,Aeza International
109.120.184.27,2053,FI,Aeza International
109.120.184.66,8443,FI,Aeza International
109.120.184.95,2053,FI,Aeza International
109.120.184.89,2053,FI,Aeza International
109.120.185.100,2053,FI,Aeza International
109.120.185.102,2053,FI,Aeza International
109.120.185.102,8443,FI,Aeza International
109.120.185.70,2053,FI,Aeza International
109.120.185.44,2053,FI,Aeza International
109.120.185.220,26314,FI,Aeza International
109.120.187.210,8443,FI,Aeza International
109.120.185.70,8443,FI,Aeza International
109.120.187.39,443,FI,Aeza International
109.120.187.52,2053,FI,Aeza International
109.120.184.95,8443,FI,Aeza International
109.120.187.51,2053,FI,Aeza International
109.120.187.62,2053,FI,Aeza International
109.120.185.139,443,FI,Aeza International
109.120.151.236,2053,FI,Aeza International
147.45.126.114,8443,FI,Global Connectivity Solutions Llp
147.45.126.114,2053,FI,Global Connectivity Solutions Llp
109.120.187.79,2053,FI,Aeza International
150.241.96.199,2053,FI,Aeza International
150.241.96.217,2053,FI,Aeza International
150.241.70.166,2053,FI,Aeza International
150.241.70.172,2053,FI,Aeza International
150.241.70.201,2053,FI,Aeza International
150.241.70.85,2053,FI,Aeza International
176.124.206.150,2053,FI,Aeza International
176.124.206.173,2053,FI,Aeza International
176.124.206.150,8443,FI,Aeza International
176.124.206.173,8443,FI,Aeza International
176.124.206.250,8443,FI,Aeza International
176.124.206.44,2053,FI,Aeza International
150.241.70.189,2053,FI,Aeza International
176.124.206.250,2053,FI,Aeza International
176.124.206.79,2053,FI,Aeza International
176.124.206.60,2053,FI,Aeza International
176.124.220.237,2053,FI,Aeza International
178.236.244.243,2053,FI,Aeza International
176.124.206.89,2053,FI,Aeza International
176.124.206.60,8443,FI,Aeza International
178.236.244.8,2053,FI,Aeza International
185.174.137.10,2053,FI,Aeza International
185.174.137.35,443,FI,Aeza International
185.174.137.35,2053,FI,Aeza International
185.174.137.10,8443,FI,Aeza International
185.174.137.106,2053,FI,Aeza International
185.174.137.106,8443,FI,Aeza International
185.174.137.97,2053,FI,Aeza International
176.124.220.17,2053,FI,Aeza International
176.124.220.208,2053,FI,Aeza International
176.124.220.234,2053,FI,Aeza International
185.174.137.149,2053,FI,Aeza International
185.174.137.149,8443,FI,Aeza International
195.133.2.212,2053,FI,Aeza International
195.133.2.144,2053,FI,Aeza International
195.133.2.192,2053,FI,Aeza International
195.133.2.22,2053,FI,Aeza International
195.133.2.190,2053,FI,Aeza International
195.133.2.193,2053,FI,Aeza International
195.133.2.227,2053,FI,Aeza International
195.133.2.227,8443,FI,Aeza International
195.133.2.92,2053,FI,Aeza International
217.144.186.102,2053,FI,Aeza International
217.144.186.130,2053,FI,Aeza International
217.144.186.102,8443,FI,Aeza International
217.144.186.130,8443,FI,Aeza International
217.144.186.136,8443,FI,Aeza International
217.144.186.190,2053,FI,Aeza International
217.144.186.230,2053,FI,Aeza International
217.144.186.237,2053,FI,Aeza International
217.144.186.45,2053,FI,Aeza International
217.144.186.203,8443,FI,Aeza International
217.144.188.147,2053,FI,Aeza International
217.144.188.10,443,FI,Aeza International
217.144.188.134,2053,FI,Aeza International
217.144.188.127,2053,FI,Aeza International
217.144.188.152,2053,FI,Aeza International
217.144.188.156,2053,FI,Aeza International
217.144.188.155,2053,FI,Aeza International
217.144.188.174,2053,FI,Aeza International
217.144.188.239,2053,FI,Aeza International
217.144.188.239,443,FI,Aeza International
217.144.188.181,2053,FI,Aeza International
217.144.188.156,8443,FI,Aeza International
217.144.188.22,2053,FI,Aeza International
217.144.188.174,8443,FI,Aeza International
217.144.188.25,2053,FI,Aeza International
217.144.188.246,2053,FI,Aeza International
217.144.188.32,2053,FI,Aeza International
217.144.188.249,2053,FI,Aeza International
217.144.188.80,8443,FI,Aeza International
217.144.188.80,2053,FI,Aeza International
217.144.188.37,2053,FI,Aeza International
217.144.188.32,8443,FI,Aeza International
217.144.186.190,8443,FI,Aeza International
62.60.237.26,2053,FI,Aeza International
77.105.167.145,2053,FI,Aeza International
77.105.167.19,8443,FI,Aeza International
77.105.167.186,2053,FI,Aeza International
77.105.167.225,8443,FI,Aeza International
77.105.167.19,2053,FI,Aeza International
77.105.167.48,2053,FI,Aeza International
77.105.167.74,2053,FI,Aeza International
77.105.167.48,8443,FI,Aeza International
77.221.158.1,2053,FI,Aeza International
77.221.158.123,2053,FI,Aeza International
77.221.158.123,8443,FI,Aeza International
77.221.158.125,2053,FI,Aeza International
77.221.158.176,8443,FI,Aeza International
77.221.158.214,2053,FI,Aeza International
77.221.158.125,8443,FI,Aeza International
77.221.159.16,2053,FI,Aeza International
77.221.159.149,443,FI,Aeza International
77.221.159.194,2053,FI,Aeza International
77.221.159.16,8443,FI,Aeza International
77.221.159.44,8443,FI,Aeza International
77.105.167.74,8443,FI,Aeza International
77.221.159.79,2053,FI,Aeza International
77.221.159.46,2053,FI,Aeza International
77.221.159.46,8443,FI,Aeza International
77.221.159.79,8443,FI,Aeza International
77.221.159.63,2053,FI,Aeza International
77.221.159.44,2053,FI,Aeza International
77.91.70.171,2053,FI,Aeza International
77.91.70.242,2053,FI,Aeza International
77.91.78.15,2053,FI,Aeza International
77.91.78.15,8443,FI,Aeza International
77.91.78.18,2053,FI,Aeza International
77.91.70.215,80,FI,Aeza International
77.91.78.18,8443,FI,Aeza International
77.91.78.4,8443,FI,Aeza International
77.91.78.97,2053,FI,Aeza International
77.91.78.85,2053,FI,Aeza International
77.91.78.4,2053,FI,Aeza International
79.137.206.10,8443,FI,Aeza International
79.137.206.10,2053,FI,Aeza International
79.137.206.178,2053,FI,Aeza International
77.91.78.214,2053,FI,Aeza International
79.137.206.226,8443,FI,Aeza International
79.137.206.15,2053,FI,Aeza International
79.137.206.15,8443,FI,Aeza International
79.137.206.166,8443,FI,Aeza International
79.137.206.229,2053,FI,Aeza International
79.137.206.32,2053,FI,Aeza International
79.137.206.32,8443,FI,Aeza International
79.137.206.97,8443,FI,Aeza International
79.137.206.97,2053,FI,Aeza International
79.137.206.57,2053,FI,Aeza International
79.137.248.124,8443,FI,Aeza International
79.137.248.187,8443,FI,Aeza International
79.137.248.138,8443,FI,Aeza International
79.137.248.200,8443,FI,Aeza International
79.137.248.200,2053,FI,Aeza International
79.137.248.211,2053,FI,Aeza International
79.137.248.211,8443,FI,Aeza International
79.137.248.247,8443,FI,Aeza International
80.85.241.239,2053,FI,Aeza International
85.192.61.128,2053,FI,Aeza International
85.192.61.187,2053,FI,Aeza International
80.85.241.99,443,FI,Aeza International
85.192.61.21,2053,FI,Aeza International
85.192.61.34,2053,FI,Aeza International
85.192.61.28,2053,FI,Aeza International
85.192.61.43,2053,FI,Aeza International
85.192.61.87,8443,FI,Aeza International
85.192.61.87,2053,FI,Aeza International
85.192.61.48,443,FI,Aeza International
91.103.140.118,2053,FI,Aeza International
91.103.140.118,8443,FI,Aeza International
91.103.140.147,2053,FI,Aeza International
91.103.140.15,2053,FI,Aeza International
91.103.140.14,2053,FI,Aeza International
91.103.140.175,2053,FI,Aeza International
91.103.140.204,8443,FI,Aeza International
91.103.140.221,2053,FI,Aeza International
91.103.140.198,2053,FI,Aeza International
91.103.140.221,8443,FI,Aeza International
91.103.140.66,2053,FI,Aeza International
91.103.140.23,2053,FI,Aeza International
91.103.140.77,2053,FI,Aeza International
91.103.140.86,2053,FI,Aeza International
91.103.140.33,2053,FI,Aeza International
91.184.243.178,443,FI,Aeza International
91.184.243.25,8443,FI,Aeza International
91.103.140.88,2053,FI,Aeza International
91.184.243.53,2053,FI,Aeza International
91.184.243.63,2053,FI,Aeza International
91.103.140.120,2053,FI,Aeza International
94.142.138.123,2053,FI,Aeza International
94.142.138.129,8443,FI,Aeza International
94.142.138.174,8443,FI,Aeza International
94.142.138.174,2053,FI,Aeza International
91.184.243.57,2053,FI,Aeza International
94.142.138.98,2053,FI,Aeza International
94.142.138.159,2053,FI,Aeza International
94.142.138.98,8443,FI,Aeza International
51.15.125.124,443,FR,Scaleway
51.15.47.222,3443,FR,Scaleway
51.15.93.119,443,FR,Scaleway
146.59.14.96,443,FR,OVHcloud
146.59.65.131,2053,FR,OVHcloud
146.59.19.208,8443,FR,OVHcloud
146.59.19.208,2053,FR,OVHcloud
146.59.65.131,8443,FR,OVHcloud
147.135.198.245,2053,FR,OVH SAS
147.135.198.245,8443,FR,OVH SAS
193.70.127.178,8443,FR,OVHcloud
193.70.127.178,2053,FR,OVHcloud
51.38.144.102,8443,FR,OVHcloud
51.38.144.100,2053,FR,OVHcloud
51.38.144.102,2053,FR,OVHcloud
51.38.144.103,2053,FR,OVHcloud
51.38.144.103,8443,FR,OVHcloud
51.38.144.105,2053,FR,OVHcloud
51.38.147.109,2053,FR,OVHcloud
51.38.147.110,8443,FR,OVHcloud
51.38.147.110,2053,FR,OVHcloud
51.38.147.109,8443,FR,OVHcloud
51.38.147.79,8443,FR,OVHcloud
51.38.147.79,2053,FR,OVHcloud
51.38.151.90,2053,FR,OVHcloud
51.38.152.67,2053,FR,OVHcloud
51.38.151.90,8443,FR,OVHcloud
51.38.152.86,8443,FR,OVHcloud
51.38.152.86,2053,FR,OVHcloud
51.38.156.100,8880,FR,OVHcloud
51.38.156.100,2095,FR,OVHcloud
51.38.156.100,8443,FR,OVHcloud
51.83.173.88,2053,FR,OVHcloud
51.83.173.88,8443,FR,OVHcloud
51.83.172.96,443,FR,OVHcloud
51.83.189.185,2053,FR,OVHcloud
51.83.193.204,443,FR,OVHcloud
51.83.228.224,8443,FR,OVHcloud
51.83.228.224,2053,FR,OVHcloud
51.83.228.231,2053,FR,OVHcloud
51.83.228.231,8443,FR,OVHcloud
51.83.228.230,8443,FR,OVHcloud
51.83.228.230,2053,FR,OVHcloud
51.83.228.227,2053,FR,OVHcloud
51.83.228.227,8443,FR,OVHcloud
51.83.232.97,2053,FR,OVHcloud
51.83.232.97,8443,FR,OVHcloud
54.37.142.108,2053,FR,OVHcloud
54.37.142.108,8443,FR,OVHcloud
54.37.142.110,2053,FR,OVHcloud
54.37.142.110,8443,FR,OVHcloud
54.37.142.115,2053,FR,OVHcloud
54.37.142.113,8443,FR,OVHcloud
54.37.142.113,2053,FR,OVHcloud
54.37.142.115,8443,FR,OVHcloud
54.37.239.20,8443,FR,OVHcloud
54.37.235.201,443,FR,OVHcloud
54.38.201.98,2053,FR,OVHcloud
54.38.201.120,2053,FR,OVHcloud
54.38.201.98,8443,FR,OVHcloud
54.38.59.29,2053,FR,OVHcloud
54.38.59.29,8443,FR,OVHcloud
141.11.210.29,443,FR,QuadraNet
141.11.136.193,53300,FR,QuadraNet
185.126.225.58,443,GB,Datacamp
185.92.74.88,443,GB,Foxcloud Llp
45.14.244.216,2061,GB,Garant-G Ltd.
91.107.122.195,2053,GB,JSC IOT
91.107.122.195,8443,GB,JSC IOT
154.12.53.209,48873,GB,GTHost
172.82.16.38,25122,GB,Olink-cloud
172.82.16.38,25953,GB,Olink-cloud
172.82.16.38,27043,GB,Olink-cloud
172.82.16.38,31005,GB,Olink-cloud
172.82.16.38,27061,GB,Olink-cloud
172.82.16.38,27053,GB,Olink-cloud
172.82.16.38,30387,GB,Olink-cloud
95.164.3.169,443,GI,Stark Industries Solutions
95.164.0.155,443,GI,Stark Industries Solutions
95.164.0.240,8443,GI,Stark Industries Solutions
95.164.0.240,2053,GI,Stark Industries Solutions
95.164.0.219,443,GI,Stark Industries Solutions
95.164.0.163,2053,GI,Stark Industries Solutions
83.147.14.92,9527,HK,Alice Networks
91.217.139.227,8443,HK,Cnservers LLC
91.217.139.121,8443,HK,Cnservers LLC
178.253.23.43,443,IR,TimeWeb
178.253.23.199,8443,IR,TimeWeb
81.31.245.170,8443,IR,TimeWeb
81.31.245.115,1337,IR,TimeWeb
81.31.245.22,443,IR,TimeWeb
81.31.245.122,443,IR,TimeWeb
81.31.245.115,7777,IR,TimeWeb
94.241.174.207,443,IR,TimeWeb
94.241.174.115,8443,IR,TimeWeb
94.241.174.28,443,IR,TimeWeb
94.241.174.229,443,IR,TimeWeb
83.147.247.249,2053,IR,TimeWeb
62.60.159.29,2053,IR,Aeza International
62.60.159.212,2053,IR,Aeza International
85.208.110.241,2053,JP,Stark Industries Solutions
85.208.110.5,2053,JP,Stark Industries Solutions
85.208.110.52,2053,JP,Stark Industries Solutions
85.208.110.52,8443,JP,Stark Industries Solutions
150.95.25.108,2053,JP,Z.com
150.95.25.108,8443,JP,Z.com
183.100.192.53,50000,KR,KT
183.100.144.36,21789,KR,KT
183.109.159.118,50000,KR,KT
183.102.103.71,22866,KR,KT
203.228.42.143,34942,KR,KT
183.109.130.135,30072,KR,KT
183.103.211.16,26782,KR,KT
183.101.143.243,33336,KR,KT
183.101.244.245,50000,KR,KT
183.101.245.148,50000,KR,KT
20.214.143.77,587,KR,Microsoft Azure
183.104.67.29,30053,KR,KT
183.100.144.36,10482,KR,KT
183.103.211.16,34036,KR,KT
183.97.229.36,30007,KR,KT
183.109.161.20,21572,KR,KT
183.101.244.245,30066,KR,KT
183.101.244.245,30065,KR,KT
183.106.123.243,50004,KR,KT
210.100.188.166,30294,KR,KT
183.106.200.190,38312,KR,KT
183.97.42.94,14662,KR,KT
183.103.211.16,20207,KR,KT
183.108.150.32,22063,KR,KT
183.104.67.29,30081,KR,KT
183.103.211.16,27521,KR,KT
203.228.105.253,50000,KR,KT
183.97.9.112,32868,KR,KT
183.97.179.158,25109,KR,KT
183.109.161.20,16120,KR,KT
183.97.42.94,22751,KR,KT
193.123.236.138,27215,KR,Oracle Cloud
183.97.179.158,38454,KR,KT
183.103.92.163,50000,KR,KT
183.96.133.118,30057,KR,KT
183.97.179.158,10253,KR,KT
183.96.44.245,30042,KR,KT
183.96.245.165,30060,KR,KT
183.106.200.190,33246,KR,KT
183.106.200.190,25616,KR,KT
183.96.245.165,50001,KR,KT
183.104.67.29,11642,KR,KT
183.96.133.118,30043,KR,KT
203.243.63.166,27249,KR,KT
203.232.41.115,50000,KR,KT
182.226.53.214,10678,KR,LG Uplus
210.101.111.224,18387,KR,KT
182.227.231.197,50000,KR,LG Uplus
183.109.164.122,26119,KR,KT
193.123.247.125,50576,KR,Cloudflare Warp
193.123.225.248,28407,KR,Oracle Cloud
183.104.67.29,12150,KR,KT
203.212.122.5,11431,KR,Namincheon Brodcasting Co.
182.31.126.239,30045,KR,Seokyung Cable Television Co.
182.226.53.214,10032,KR,LG Uplus
193.122.126.64,53777,KR,Oracle Cloud
182.31.126.239,30012,KR,Seokyung Cable Television Co.
193.122.122.87,52013,KR,Oracle Cloud
193.123.236.90,2096,KR,Oracle Cloud
182.226.53.214,28804,KR,LG Uplus
193.122.105.113,32082,KR,Oracle Cloud
203.212.122.5,30051,KR,Namincheon Brodcasting Co.
182.31.199.111,50002,KR,Seokyung Cable Television Co.
182.231.198.88,29343,KR,LG Uplus
182.227.96.243,31542,KR,LG Uplus
182.226.53.214,10950,KR,LG Uplus
182.226.53.214,21437,KR,LG Uplus
182.231.198.88,16026,KR,LG Uplus
182.227.96.243,27634,KR,LG Uplus
193.123.234.64,27836,KR,Oracle Cloud
210.101.111.224,30063,KR,KT
210.101.111.224,50000,KR,KT
210.101.111.224,36821,KR,KT
210.103.86.17,10083,KR,KT
210.103.86.17,21770,KR,KT
183.104.59.30,25466,KR,KT
183.106.200.190,11774,KR,KT
183.97.179.158,17643,KR,KT
210.179.66.92,30003,KR,KT
210.113.101.117,30075,KR,KT
210.103.86.17,31279,KR,KT
210.113.101.117,30050,KR,KT
210.179.66.92,30011,KR,KT
210.179.100.216,50000,KR,KT
210.179.113.38,11565,KR,KT
210.222.142.241,37479,KR,KT
210.107.19.125,50000,KR,LG Uplus
210.179.66.92,30068,KR,KT
210.179.66.92,30065,KR,KT
210.222.173.61,22925,KR,KT
210.222.173.61,20653,KR,KT
210.179.66.92,30064,KR,KT
210.97.74.126,50000,KR,KT
211.104.247.181,14569,KR,KT
210.222.173.61,18432,KR,KT
210.95.134.220,50000,KR,KT
211.104.247.181,23340,KR,KT
211.105.35.130,30056,KR,KT
211.177.125.213,50002,KR,SK Broadband
211.105.35.130,30012,KR,KT
211.105.35.130,30001,KR,KT
211.114.189.176,14858,KR,KT
211.185.88.225,50000,KR,KT
211.184.143.15,12425,KR,KT
210.111.176.108,38855,KR,Namincheon Brodcasting Co.
211.181.24.134,30059,KR,LG Uplus
211.105.161.16,30063,KR,KT
211.107.155.57,36565,KR,KT
211.194.174.120,30068,KR,KT
211.105.161.16,50003,KR,KT
211.115.146.127,31304,KR,KT
211.194.174.120,50002,KR,KT
210.99.126.75,30017,KR,KT
211.193.253.194,25444,KR,KT
211.193.80.109,37972,KR,KT
211.195.114.78,30011,KR,KT
211.195.114.78,21505,KR,KT
211.195.114.78,11398,KR,KT
211.197.41.78,11163,KR,KT
211.197.41.78,31508,KR,KT
211.195.114.78,20385,KR,KT
211.199.217.63,27942,KR,KT
211.199.217.63,30048,KR,KT
211.199.36.227,11853,KR,KT
211.199.217.63,50000,KR,KT
211.199.36.227,36546,KR,KT
211.199.36.227,27020,KR,KT
211.199.36.227,14491,KR,KT
210.222.173.61,10638,KR,KT
211.199.39.231,10419,KR,KT
211.184.154.31,11934,KR,KT
211.114.108.112,35191,KR,KT
211.184.154.31,35302,KR,KT
211.195.33.44,30040,KR,KT
211.199.39.231,18165,KR,KT
211.199.39.231,11069,KR,KT
211.199.39.231,36741,KR,KT
211.199.39.231,10515,KR,KT
211.199.39.231,35995,KR,KT
211.196.223.206,18468,KR,KT
211.114.195.107,22968,KR,KT
211.196.223.206,33391,KR,KT
211.219.179.141,17115,KR,KT
211.219.179.141,13588,KR,KT
211.219.179.141,29431,KR,KT
211.221.212.43,16042,KR,KT
211.220.3.254,21428,KR,KT
211.222.80.156,11838,KR,KT
211.220.3.254,38664,KR,KT
211.222.80.156,22492,KR,KT
211.224.100.195,30062,KR,KT
193.122.107.147,443,KR,Oracle Cloud
211.219.199.21,50000,KR,KT
211.216.189.208,26538,KR,KT
211.199.39.231,38576,KR,KT
211.222.80.156,24868,KR,KT
211.216.189.208,26565,KR,KT
211.223.36.147,19696,KR,KT
211.222.80.156,24172,KR,KT
211.216.189.208,39726,KR,KT
211.220.3.254,10475,KR,KT
211.220.3.254,15268,KR,KT
211.224.100.195,30012,KR,KT
211.227.114.208,31204,KR,KT
211.227.114.208,50000,KR,KT
211.227.123.151,30062,KR,KT
211.227.43.208,30058,KR,KT
211.227.123.151,36608,KR,KT
211.227.123.151,30065,KR,KT
211.227.114.208,11504,KR,KT
211.227.123.151,14534,KR,KT
211.227.123.151,10450,KR,KT
211.199.39.231,35970,KR,KT
211.219.198.180,12811,KR,KT
211.220.3.254,11847,KR,KT
211.248.217.7,50000,KR,KT
211.224.167.141,11925,KR,KT
211.227.123.151,29856,KR,KT
211.250.34.187,10543,KR,KT
211.225.18.116,30037,KR,KT
211.248.232.132,29369,KR,KT
211.227.123.151,17432,KR,KT
211.248.229.186,32557,KR,KT
211.248.246.172,13360,KR,KT
211.248.229.186,14074,KR,KT
211.248.229.186,27453,KR,KT
211.250.134.12,28500,KR,KT
